Name,Award,Gender,award year,award age,Birth Country,Birth Continent,award country,award continent
Jean Henry Dunant,Peace,M,1901,74,Switzerland,Europe,Switzerland,Europe
Frroperlandeac,Peace,M,1901,80,France,Europe,France,Europe
Sully Prudhomme,Literature,M,1901,63,France,Europe,France,Europe
Emil Adolf von Behring,Physiology or Medicine,M,1901,48,Poland,Europe,Germany,Europe
Jacobus Henricus van ysiolog,Chemistry,M,1901,50,Netherlands,Europe,Germany,Europe
Wilhelm Conrad Rin Che,Physics,M,1901,57,Germany,Europe,Germany,Europe
?lie Ducommun,Peace,M,1902,70,Switzerland,Europe,Switzerland,Europe
Charles Albert Gobat,Peace,M,1902,60,Switzerland,Europe,Switzerland,Europe
Christian Matthias Theodor Mommsen,Literature,M,1902,86,Germany,Europe,Germany,Europe
Ronald Ross,Physiology or Medicine,M,1902,46,India,Asia,United Kingdom,Europe
Hermann Emil Fischer,Chemistry,M,1902,51,Germany,Europe,Germany,Europe
Hendrik Antoon Lorentz,Physics,M,1902,50,Netherlands,Europe,Netherlands,Europe
Pieter Zeeman,Physics,M,1902,38,Netherlands,Europe,Netherlands,Europe
William Randal Cremer,Peace,M,1903,74,United Kingdom,Europe,United Kingdom,Europe
Bjrope Kingdome Prizeysicsryy ,Literature,M,1903,72,Norway,Europe,Norway,Europe
Niels Ryberg Finsen,Physiology or Medicine,M,1903,44,Denmark,Europe,Denmark,Europe
Svante August Arrhenius,Chemistry,M,1903,45,Sweden,Europe,Sweden,Europe
Antoine Henri Becquerel,Physics,M,1903,52,France,Europe,France,Europe
Pierre Curie,Physics,M,1903,45,France,Europe,France,Europe
Marie Curie,Physics,F,1903,37,Poland,Europe,France,Europe
Institut de droit international,Peace,Org,1904,32,Belgium,Europe,Belgium,Europe
Josopemel Peace Prizeernati,Literature,M,1904,73,Spain,Europe,Spain,Europe
Frropebel Prize ,Literature,M,1904,75,France,Europe,France,Europe
Ivan Petrovich Pavlov,Physiology or Medicine,M,1904,56,Russia,Europe,Russia,Europe
Sir William Ramsay,Chemistry,M,1904,53,Scotland,Europe,United Kingdom,Europe
Lord Rayleigh (John William Strutt),Physics,M,1904,63,United Kingdom,Europe,United Kingdom,Europe
Baroness Bertha Sophie Felicita von Suttner,Peace,F,1905,63,Czech,Europe,Austria,Europe
Henryk Sienkiewicz,Literature,M,1905,60,Poland,Europe,Poland,Europe
Robert Koch,Physiology or Medicine,M,1905,63,Germany,Europe,Germany,Europe
Johann Friedrich Wilhelm Adolf von Baeyer,Chemistry,M,1905,71,Germany,Europe,Germany,Europe
Philipp Eduard Anton von Lenard,Physics,M,1905,44,Slovakia,Europe,Germany,Europe
Theodore Roosevelt,Peace,M,1906,49,USA,North America,USA,North America
Giosu Americace,Literature,M,1906,72,Italy,Europe,Italy,Europe
Camillo Golgi,Physiology or Medicine,M,1906,64,Italy,Europe,Italy,Europe
Santiago Ramize in Phy,Physiology or Medicine,M,1906,55,Spain,Europe,Spain,Europe
Henri Moissan,Chemistry,M,1906,55,France,Europe,France,Europe
Joseph John Thomson,Physics,M,1906,51,United Kingdom,Europe,United Kingdom,Europe
Ernesto Teodoro Moneta,Peace,M,1907,75,Italy,Europe,Italy,Europe
Louis Renault,Peace,M,1907,65,France,Europe,France,Europe
Rudyard Kipling,Literature,M,1907,43,India,Asia,United Kingdom,Europe
Charles Louis Alphonse Laveran,Physiology or Medicine,M,1907,63,France,Europe,France,Europe
Eduard Buchner,Chemistry,M,1907,48,Germany,Europe,Germany,Europe
Albert Abraham Michelson,Physics,M,1907,56,USA,North America,USA,North America
Klas Pontus Arnoldson,Peace,M,1908,65,Sweden,Europe,Sweden,Europe
Fredrik Bajer,Peace,M,1908,72,Denmark,Europe,Denmark,Europe
Rudolf Christoph Eucken,Literature,M,1908,63,Germany,Europe,Germany,Europe
Ilya Ilyich Mechnikov,Physiology or Medicine,M,1908,64,Ukraine,Europe,France,Europe
Paul Ehrlich,Physiology or Medicine,M,1908,55,Poland,Europe,Germany,Europe
Ernest Rutherford,Chemistry,M,1908,38,New Zealand,Oceanian,United Kingdom,Europe
Gabriel Lippmann,Physics,M,1908,64,Luxembourg,Europe,France,Europe
Auguste Marie Fran Physicsryy or,Peace,M,1909,81,Belgium,Europe,Belgium,Europe
Paul Henri d'Estournelles de Constant,Peace,M,1909,58,France,Europe,France,Europe
Selma Ottilia Lovisa Lagerle ,Literature,M,1909,52,Sweden,Europe,Sweden,Europe
Emil Theodor Kocher,Physiology or Medicine,M,1909,69,Switzerland,Europe,Switzerland,Europe
Wilhelm Ostwald,Chemistry,M,1909,57,Latvia,Europe,Germany,Europe
Guglielmo Marconi,Physics,M,1909,36,Italy,Europe,United Kingdom,Europe
Karl Ferdinand Braun,Physics,M,1909,60,Germany,Europe,France,Europe
Bureau international permanent de la Paix,Peace,Org,1910,20,Switzerland,Europe,Switzerland,Europe
Paul Johann Ludwig Heyse,Literature,M,1910,81,Germany,Europe,Germany,Europe
Albrecht Kossel,Physiology or Medicine,M,1910,58,Germany,Europe,Germany,Europe
Otto Wallach,Chemistry,M,1910,64,Russia,Europe,Germany,Europe
Johannes Diderik van der Waals,Physics,M,1910,74,Netherlands,Europe,Netherlands,Europe
Tobias Michael Carel Asser,Peace,M,1911,74,Netherlands,Europe,Netherlands,Europe
Alfred Hermann Fried,Peace,M,1911,48,Austria,Europe,Austria,Europe
"
Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck",Literature,M,1911,50,Belgium,Europe,Belgium,Europe
Allvar Gullstrand,Physiology or Medicine,M,1911,50,Sweden,Europe,Sweden,Europe
Marie Curie,Chemistry,F,1911,45,Poland,Europe,France,Europe
Wilhelm Wien,Physics,M,1911,48,Russia,Europe,Germany,Europe
Elihu Root,Peace,M,1912,68,USA,North America,USA,North America
Gerhart Johann Robert Hauptmann,Literature,M,1912,51,Poland,Europe,Germany,Europe
Alexis Carrel,Physiology or Medicine,M,1912,40,France,Europe,USA,North America
Paul Sabatier,Chemistry,M,1912,59,France,Europe,France,Europe
Victor Grignard,Chemistry,M,1912,42,France,Europe,France,Europe
Nils Gustaf Dal i,Physics,M,1912,44,Sweden,Europe,Sweden,Europe
Henri La Fontaine,Peace,M,1913,60,Belgium,Europe,Belgium,Europe
Rabindranath Tagore,Literature,M,1913,53,India,Asia,India,Asia
Charles Robert Richet,Physiology or Medicine,M,1913,64,France,Europe,France,Europe
Alfred Werner,Chemistry,M,1913,48,France,Europe,Switzerland,Europe
Heike Kamerlingh Onnes,Physics,M,1913,61,Netherlands,Europe,Netherlands,Europe
Robert Bndsri,Physiology or Medicine,M,1914,39,Austria,Europe,Austria,Europe
Theodore William Richards,Chemistry,M,1914,47,USA,North America,USA,North America
Max von Laue,Physics,M,1914,36,Germany,Europe,Germany,Europe
Romain Rolland,Literature,M,1915,50,France,Europe,France,Europe
Richard Martin Willstterat,Chemistry,M,1915,44,Germany,Europe,Germany,Europe
Sir William Henry Bragg ,Physics,M,1915,54,United Kingdom,Europe,United Kingdom,Europe
William Lawrence Bragg,Physics,M,1915,26,Australia,Oceanian,United Kingdom,Europe
Carl Gustaf Verner von Heidenstam,Literature,M,1916,58,Sweden,Europe,Sweden,Europe
Comitebel Prize in LiteraturestamMedic,Peace,Org,1917,55,Switzerland,Europe,Switzerland,Europe
Henrik Pontoppidan,Literature,M,1917,61,Denmark,Europe,Denmark,Europe
Karl Adolph Gjellerup,Literature,M,1917,61,Denmark,Europe,Denmark,Europe
Charles Glover Barkla,Physics,M,1917,41,United Kingdom,Europe,United Kingdom,Europe
Fritz Haber,Chemistry,M,1918,51,Poland,Europe,Germany,Europe
Max Karl Ernst Ludwig Planck,Physics,M,1918,61,Germany,Europe,Germany,Europe
Thomas Woodrow Wilson,Peace,M,1919,64,United Kingdom,Europe,United Kingdom,Europe
Carl Friedrich Georg Spitteler,Literature,M,1919,75,Switzerland,Europe,Switzerland,Europe
Jules Bordet,Physiology or Medicine,M,1919,50,Belgium,Europe,Belgium,Europe
Johannes Stark,Physics,M,1919,46,Germany,Europe,Germany,Europe
Luropeyel Prize in Physicsogy,Peace,M,1920,70,France,Europe,France,Europe
Knut Pedersen Hamsun,Literature,M,1920,62,Norway,Europe,Norway,Europe
Schack August Steenberg Krogh,Physiology or Medicine,M,1920,47,Denmark,Europe,Denmark,Europe
Walther Hermann Nernst,Chemistry,M,1920,57,Poland,Europe,Germany,Europe
Charles Edouard Guillaume,Physics,M,1920,60,Switzerland,Europe,France,Europe
Karl Hjalmar Branting,Peace,M,1921,62,Sweden,Europe,Sweden,Europe
Christian Lous Lange,Peace,M,1921,53,Norway,Europe,Norway,Europe
Frederick Soddy,Chemistry,M,1921,42,United Kingdom,Europe,United Kingdom,Europe
Albert Einstein,Physics,M,1921,45,Germany,Europe,Germany,Europe
Fridtjof Nansen,Peace,M,1922,62,Norway,Europe,Norway,Europe
Jacinto Benavente,Literature,M,1922,57,Spain,Europe,Spain,Europe
Otto Fritz Meyerhof,Physiology or Medicine,M,1922,39,Germany,Europe,Germany,Europe
Archibald Vivian Hill,Physiology or Medicine,M,1922,37,United Kingdom,Europe,United Kingdom,Europe
Francis William Aston,Chemistry,M,1922,46,United Kingdom,Europe,United Kingdom,Europe
Niels Henrik David Bohr,Physics,M,1922,38,Denmark,Europe,Denmark,Europe
William Butler Yeats,Literature,M,1923,59,Ireland,Europe,Ireland,Europe
Frederick Grant Banting,Physiology or Medicine,M,1923,33,Canada,Europe,Canada,Europe
John James Rickard Macleod,Physiology or Medicine,M,1923,48,Scotland,Europe,Scotland,Europe
Fritz Pregl,Chemistry,M,1923,55,Slovenia,Europe,Austria,Europe
Robert Andrews Millikan,Physics,M,1923,56,USA,North America,USA,North America
Wladyslaw Stanislaw Reymont,Literature,M,1924,58,Poland,Europe,Poland,Europe
Willem Einthoven,Physiology or Medicine,M,1924,65,Indonesia,Asia,Netherlands,Europe
Karl Manne Georg Siegbahn,Physics,M,1924,39,Sweden,Europe,Sweden,Europe
Sir Austen Chamberlain,Peace,M,1925,63,United Kingdom,Europe,United Kingdom,Europe
Charles Gates Dawes,Peace,M,1925,61,USA,North America,USA,North America
George Bernard Shaw,Literature,M,1925,70,Ireland,Europe,United Kingdom,Europe
Richard Adolf Zsigmondy,Chemistry,M,1925,61,Austria,Europe,Germany,Europe
James Franck,Physics,M,1925,44,Germany,Europe,Germany,Europe
Gustav Ludwig Hertz,Physics,M,1925,39,Germany,Europe,Germany,Europe
Gustav Stresemann,Peace,M,1926,49,Germany,Europe,Germany,Europe
Aristide Briand,Peace,M,1926,65,France,Europe,France,Europe
Grazia Deledda,Literature,M,1926,56,Italy,Europe,Italy,Europe
Johannes Andreas Grib Fibiger,Physiology or Medicine,M,1926,60,Denmark,Europe,Denmark,Europe
The (Theodor) Svedberg,Chemistry,M,1926,43,Sweden,Europe,Sweden,Europe
Jean Baptiste Perrin,Physics,M,1926,57,France,Europe,France,Europe
Ferdinand Buisson,Peace,M,1927,87,France,Europe,France,Europe
Ludwig Quidde,Peace,M,1927,70,Germany,Europe,Germany,Europe
Henri Bergson,Literature,M,1927,69,France,Europe,France,Europe
Julius Wagner-Jauregg,Physiology or Medicine,M,1927,70,Austria,Europe,Austria,Europe
Heinrich Otto Wieland,Chemistry,M,1927,51,Germany,Europe,Germany,Europe
Charles Thomson Rees Wilson,Physics,M,1927,59,Scotland,Europe,Scotland,Europe
Arthur Holly Compton,Physics,M,1927,36,USA,North America,USA,North America
Sigrid Undset,Literature,F,1928,47,Denmark,Europe,Norway,Europe
Charles Jules Henri Nicolle,Physiology or Medicine,M,1928,63,France,Europe,France,Europe
Adolf Otto Reinhold Windaus,Chemistry,M,1928,53,Germany,Europe,Germany,Europe
Owen Willans Richardson,Physics,M,1928,50,United Kingdom,Europe,United Kingdom,Europe
Frank Billings Kellogg,Peace,M,1929,74,USA,North America,USA,North America
Thomas Mann,Literature,M,1929,55,Germany,Europe,Germany,Europe
Sir Frederick Gowland Hopkins,Physiology or Medicine,M,1929,69,United Kingdom,Europe,United Kingdom,Europe
Christiaan Eijkman,Physiology or Medicine,M,1929,72,Netherlands,Europe,Netherlands,Europe
Arthur Harden,Chemistry,M,1929,65,United Kingdom,Europe,United Kingdom,Europe
Hans Karl August Simon von Euler-Chelpin,Chemistry,M,1929,57,Germany,Europe,Sweden,Europe
Prince Louis-Victor Pierre Raymond de Broglie,Physics,M,1929,38,France,Europe,France,Europe
Lars Olof Jonathan (Nathan) Symond de,Peace,M,1930,65,Sweden,Europe,Sweden,Europe
Sinclair Lewis,Literature,M,1930,46,USA,North America,USA,North America
Karl Landsteiner,Physiology or Medicine,M,1930,63,Austria,Europe,USA,North America
Hans Fischer,Chemistry,M,1930,50,Germany,Europe,Germany,Europe
Sir Chandrasekhara Venkata Raman,Physics,M,1930,43,India,Asia,India,Asia
Jane Addams,Peace,F,1931,72,USA,North America,USA,North America
Nicholas Murray Butler,Peace,M,1931,70,USA,North America,USA,North America
Erik Axel Karlfeldt,Literature,M,1931,68,Sweden,Europe,Sweden,Europe
Otto Heinrich Warburg,Physiology or Medicine,M,1931,49,Germany,Europe,Germany,Europe
Carl Bosch,Chemistry,M,1931,58,Germany,Europe,Germany,Europe
Friedrich Bergius,Chemistry,M,1931,48,Poland,Europe,Germany,Europe
John Galsworthy,Literature,M,1932,66,United Kingdom,Europe,United Kingdom,Europe
Sir Charles Scott Sherrington,Physiology or Medicine,M,1932,76,United Kingdom,Europe,United Kingdom,Europe
Edgar Douglas Adrian,Physiology or Medicine,M,1932,44,United Kingdom,Europe,United Kingdom,Europe
Irving Langmuir,Chemistry,M,1932,52,USA,North America,USA,North America
Werner Karl Heisenberg,Physics,M,1932,32,Germany,Europe,Germany,Europe
Sir Norman Angell (Ralph Lane),Peace,M,1933,62,United Kingdom,Europe,United Kingdom,Europe
Ivan Alekseyevich Bunin,Literature,M,1933,63,Russia,Europe,France,Europe
Thomas Hunt Morgan,Physiology or Medicine,M,1933,68,USA,North America,USA,North America
Erwin Schricaze i,Physics,M,1933,47,Austria,Europe,Germany,Europe
Paul Adrien Maurice Dirac,Physics,M,1933,32,United Kingdom,Europe,United Kingdom,Europe
Arthur Henderson,Peace,M,1934,72,Scotland,Europe,United Kingdom,Europe
Luigi Pirandello,Literature,M,1934,68,Italy,Europe,Italy,Europe
George Hoyt Whipple,Physiology or Medicine,M,1934,57,USA,North America,USA,North America
George Richards Minot,Physiology or Medicine,M,1934,50,USA,North America,USA,North America
William Parry Murphy,Physiology or Medicine,M,1934,43,USA,North America,USA,North America
Harold Clayton Urey,Chemistry,M,1934,42,USA,North America,USA,North America
Carl von Ossietzky,Peace,M,1935,47,Germany,Europe,Germany,Europe
Hans Spemann,Physiology or Medicine,M,1935,67,Germany,Europe,Germany,Europe
Frropeyel Prize,Chemistry,M,1935,36,France,Europe,France,Europe
Irropebel Prize in,Chemistry,F,1935,39,France,Europe,France,Europe
James Chadwick,Physics,M,1935,45,United Kingdom,Europe,United Kingdom,Europe
Carlos Saavedra Lamas,Peace,M,1936,59,Argentina,South America,Argentina,South America
Eugene Gladstone Oizeysi,Literature,M,1936,49,USA,North America,USA,North America
Sir Henry Hallett Dale,Physiology or Medicine,M,1936,62,United Kingdom,Europe,United Kingdom,Europe
Otto Loewi,Physiology or Medicine,M,1936,64,Germany,Europe,Austria,Europe
Petrus (Peter) Josephus Wilhelmus Debye,Chemistry,M,1936,53,Netherlands,Europe,Germany,Europe
Carl David Anderson,Physics,M,1936,32,USA,North America,USA,North America
Victor Franz Hess,Physics,M,1936,54,Austria,Europe,Austria,Europe
"Cecil of Chelwood, Viscount (Lord Edgar Algernon Robert Gascoyne Cecil)",Peace,M,1937,74,United Kingdom,Europe,United Kingdom,Europe
Roger Martin du Gard,Literature,M,1937,56,France,Europe,France,Europe
Albert von Szent-GyLiteratureLord E,Physiology or Medicine,M,1937,45,Hungary,Europe,Hungary,Europe
Paul Karrer,Chemistry,M,1937,49,Russia,Europe,Switzerland,Europe
Walter Norman Haworth,Chemistry,M,1937,55,United Kingdom,Europe,United Kingdom,Europe
Clinton Joseph Davisson,Physics,M,1937,57,USA,North America,USA,North America
George Paget Thomson,Physics,M,1937,46,United Kingdom,Europe,United Kingdom,Europe
Office international Nansen pour les Rinelger,Peace,Org,1938,18,Switzerland,Europe,Switzerland,Europe
Pearl Buck,Literature,F,1938,47,USA,North America,USA,North America
Corneille Jean FranLiteratureou,Physiology or Medicine,M,1938,47,Belgium,Europe,Belgium,Europe
Richard Kuhn,Chemistry,M,1938,39,Austria,Europe,Germany,Europe
Enrico Fermi,Physics,M,1938,38,Italy,Europe,Italy,Europe
Frans Eemil SillanpPh,Literature,M,1939,52,Finland,Europe,Finland,Europe
Gerhard Domagk,Physiology or Medicine,M,1939,45,Poland,Europe,Germany,Europe
Leopold Ruzicka,Chemistry,M,1939,53,Croatia,Europe,Switzerland,Europe
Adolf Friedrich Johann Butenandt,Chemistry,M,1939,37,Germany,Europe,Germany,Europe
Ernest Orlando Lawrence,Physics,M,1939,39,USA,North America,USA,North America
Edward Adelbert Doisy,Physiology or Medicine,M,1943,51,USA,North America,USA,North America
Henrik Carl Peter Dam,Physiology or Medicine,M,1943,49,Denmark,Europe,Denmark,Europe
George de Hevesy,Chemistry,M,1943,59,Hungary,Europe,Sweden,Europe
Otto Stern,Physics,M,1943,56,Poland,Europe,USA,North America
Comit Americaze in Physicsryy or Medic,Peace,Org,1944,82,Switzerland,Europe,Switzerland,Europe
Johannes Vilhelm Jensen,Literature,M,1944,72,Denmark,Europe,Denmark,Europe
Joseph Erlanger,Physiology or Medicine,M,1944,71,USA,North America,USA,North America
Herbert Spencer Gasser,Physiology or Medicine,M,1944,57,USA,North America,USA,North America
Otto Hahn,Chemistry,M,1944,66,Germany,Europe,Germany,Europe
